"","title","doi","arxiv_id","ads_id","altmetric_jid","issns","journal","context.all.count","context.all.mean","context.all.rank","context.all.pct","context.all.higher_than","context.journal.count","context.journal.mean","context.journal.rank","context.journal.pct","context.journal.higher_than","context.similar_age_3m.count","context.similar_age_3m.mean","context.similar_age_3m.rank","context.similar_age_3m.pct","context.similar_age_3m.higher_than","context.similar_age_journal_3m.count","context.similar_age_journal_3m.mean","context.similar_age_journal_3m.rank","context.similar_age_journal_3m.pct","context.similar_age_journal_3m.higher_than","type","altmetric_id","cited_by_gplus_count","cited_by_fbwalls_count","cited_by_posts_count","cited_by_tweeters_count","cited_by_accounts_count","cited_by_feeds_count","cited_by_rdts_count","cited_by_msm_count","cited_by_delicious_count","cited_by_forum_count","cited_by_qs_count","cited_by_rh_count","cited_by_wikipedia_count","score","citeulike","mendeley","connotea","url","added_on","published_on","subjects","scopus_subjects","last_updated","readers_count","details_url","pmid","abstract","abstract_source","pmc","cited_by_pinners_count","cited_by_videos_count","schema","is_oa","cited_by_posts_count.1","cited_by_tweeters_count.1","cited_by_accounts_count.1","cited_by_wikipedia_count.1","cited_by_weibo_count","cited_by_policies_count","isbns"
"137","The Myth of Global Science Collaboration - Collaboration patterns in
  epistemic communities","10.1016/j.joi.2011.12.002","1110.2980","2011arXiv1110.2980H","arxiv",",","arXiv","4506762","5.1233691071599","787190","82","3715957","282343","2.3836561970944","21358","92","260828","67747","4.3444224603666","11092","83","56567","8","2.602","2","75","6","article","402520",1,NA,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,4.75,"2","52","0","http://dx.doi.org/10.1016/j.joi.2011.12.002",1318571036,1293840000,",",", ",1319038390,54,"http://www.altmetric.com/details.php?citation_id=402520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","OMG U got flu? Analysis of shared health messages for bio-surveillance","10.1186/2041-1480-2-s5-s9","1110.3089","2011arXiv1110.3089C","4f6fa4d03cf058f610000848",",","Journal of Biomedical Semantics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,19,20,1,NA,NA,NA,NA,NA,NA,NA,21.072,"4","86","0","http://dx.doi.org/10.1186/2041-1480-2-s5-s9",1318822236,1293840000,",",", ",1334616128,90,"http://www.altmetric.com/details.php?citation_id=406733","22166368","Micro-blogging services such as Twitter offer the potential to crowdsource epidemics in real-time. However, Twitter posts ('tweets') are often ambiguous and reactive to media trends. In order to ground user messages in epidemic response we focused on tracking reports of self-protective behaviour such as avoiding public gatherings or increased sanitation as the basis for further risk analysis.","pubmed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","What's unusual in online disease outbreak news?","10.1186/2041-1480-1-2","1110.3091","2011arXiv1110.3091C","4f6fa4d03cf058f610000848",",","Journal of Biomedical Semantics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,8.33,"3","35","0","http://dx.doi.org/10.1186/2041-1480-1-2",1318864213,1262304000,",",", ",1318863245,38,"http://www.altmetric.com/details.php?citation_id=407163","20618980","Accurate and timely detection of public health events of international concern is necessary to help support risk assessment and response and save lives. Novel event-based methods that use the World Wide Web as a signal source offer potential to extend health surveillance into areas where traditional indicator networks are lacking. In this paper we address the issue of systematically evaluating online health news to support automatic alerting using daily disease-country counts text mined from real world data using BioCaster. For 18 data sets produced by BioCaster, we compare 5 aberration detection algorithms (EARS C2, C3, W2, F-statistic and EWMA) for performance against expert moderated ProMED-mail postings.","pubmed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Consistency of community detection in networks under degree-corrected
  stochastic block models","10.1214/12-aos1036","1110.3854","2011arXiv1110.3854Z","arxiv",",","arXiv","4725905","5.5963178572073","2443548","35","1661001","301152","2.1999073753699","79445","65","198489","69979","4.4370893709451","29358","42","29672","9","2.5705","5","33","3","article","419239",NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,1,"0","39","0","http://dx.doi.org/10.1214/12-aos1036",1318992979,1293840000,",",", ",1426644568,39,"http://www.altmetric.com/details.php?citation_id=419239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","Web Search Queries Can Predict Stock Market Volumes","10.1371/journal.pone.0040014",NA,NA,"4f6fa5313cf058f6100043e3","1932-6203,","PLoS ONE","4725882","5.5833266514044","79858","98","4646035","83152","8.9326343158832","2868","96","80284","75558","5.512931720423","1214","98","74344","3246","6.5728850539291","79","97","3167",NA,NA,NA,NA,20,16,20,2,NA,2,NA,NA,NA,NA,NA,49.992,"0","105","0","http://dx.doi.org/10.1371/journal.pone.0040014",1342762990,1342656000,"medicine,science,","Medicine, Agricultural and Biological Sciences, Life Sciences, Health Sciences, Biochemistry, Genetics and Molecular Biology, ",1439385378,105,"http://www.altmetric.com/details.php?citation_id=848491","22829871","We live in a computerized and networked society where many of our actions leave a digital trace and affect other people's actions. This has lead to the emergence of a new data-driven research field: mathematical methods of computer science, statistical physics and sociometry provide insights on a wide range of disciplines ranging from social science to human mobility. A recent important discovery is that search engine traffic (i.e., the number of requests submitted by users to search engines on the www) can be used to track and, in some cases, to anticipate the dynamics of social phenomena. Successful examples include unemployment levels, car and home sales, and epidemics spreading. Few recent works applied this approach to stock prices and market sentiment. However, it remains unclear if trends in financial markets can be anticipated by the collective wisdom of on-line users on the web. Here we show that daily trading volumes of stocks traded in NASDAQ-100 are correlated with daily volumes of queries related to the same stocks. In particular, query volumes anticipate in many cases peaks of trading by one day or more. Our analysis is carried out on a unique dataset of queries, submitted to an important web search engine, which enable us to investigate also the user behavior. We show that the query volume dynamics emerges from the collective but seemingly uncoordinated activity of many users. These findings contribute to the debate on the identification of early warnings of financial systemic risk, based on the activity of users of the www.","pubmed","PMC3400625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","Tracking Traders' Understanding of the Market Using e-Communication Data","10.1371/journal.pone.0026705","1110.5962","2011PLoSO...6E6705S","4f6fa5313cf058f6100043e3",",","PLoS ONE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,14,17,3,NA,NA,NA,NA,NA,NA,NA,29.826,"4","39","0","http://dx.doi.org/10.1371/journal.pone.0026705",1352211983,1293840000,",","Medicine, Agricultural and Biological Sciences, Life Sciences, Health Sciences, Biochemistry, Genetics and Molecular Biology, ",1394008686,43,"http://www.altmetric.com/details.php?citation_id=1047018","22046335","Tracking the volume of keywords in Internet searches, message boards, or Tweets has provided an alternative for following or predicting associations between popular interest or disease incidences. Here, we extend that research by examining the role of e-communications among day traders and their collective understanding of the market. Our study introduces a general method that focuses on bundles of words that behave differently from daily communication routines, and uses original data covering the content of instant messages among all day traders at a trading firm over a 40-month period. Analyses show that two word bundles convey traders' understanding of same day market events and potential next day market events. We find that when market volatility is high, traders' communications are dominated by same day events, and when volatility is low, communications are dominated by next day events. We show that the stronger the traders' attention to either same day or next day events, the higher their collective trading performance. We conclude that e-communication among traders is a product of mass collaboration over diverse viewpoints that embodies unique information about their weak or strong understanding of the market.","pubmed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","Robust PCA as Bilinear Decomposition with Outlier-Sparsity
  Regularization","10.1109/tsp.2012.2204986","1111.1788","2012ITSP...60.5176M","4f6fa4ed3cf058f610002a71",",","IEEE Transactions on Signal Processing","3628883","4.937418267118","288661","91","3327142","217","1.5010462962963","2","98","213","64087","3.8841766688512","4726","92","59220","2","0.25","1","50","1","article","457116",1,NA,2,NA,2,1,NA,NA,NA,NA,NA,NA,NA,10,"0","26","0","http://dx.doi.org/10.1109/tsp.2012.2204986",1321430369,1293840000,",","Engineering, Computer Science, Physical Sciences, ",1321862062,26,"http://www.altmetric.com/details.php?citation_id=457116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","Locating privileged spreaders on an online social network","10.1103/physreve.85.066123","1111.4181","2012PhRvE..85f6123B","arxiv",",","arXiv","4725912","5.6233745135616","269542","94","4455220","301174","2.2036048317744","5689","98","295680","82343","5.8692649437711","5409","93","76902","2","3.75","1","50","1","article","1044811",NA,1,25,23,24,NA,NA,NA,NA,NA,NA,NA,NA,15.5,"0","63","0","http://dx.doi.org/10.1103/physreve.85.066123",1352202696,1325376000,",",", ",1348325064,63,"http://www.altmetric.com/details.php?citation_id=1044811",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","The Network of French Legal Codes","10.1145/1568234.1568271","1204.6284","2012arXiv1204.6284M","arxiv",",","arXiv","3631167","4.9271322908448","1431071","60","2181708","222229","2.7575752470437","51080","76","169643","72824","4.1796304464248","18380","74","54011","3","1.5","1","66","2","article","720270",NA,NA,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,2.35,"0","9","0","http://dx.doi.org/10.1145/1568234.1568271",1335748552,1230768000,",",", ",1335778039,9,"http://www.altmetric.com/details.php?citation_id=720270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","Community structure and scale-free collections of Erdős-Rényi graphs","10.1103/physreve.85.056109","1112.3644","2012PhRvE..85e6109S","arxiv",",","arXiv","4729490","5.5013917665933","2285560","48","2306035","301459","2.1971179268754","66706","73","222688","82360","5.6650781335373","35743","53","43840","2","3.75","2","1","0","article","1046468",NA,NA,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,1.25,"0","31","0","http://dx.doi.org/10.1103/physreve.85.056109",1352209796,1293840000,",",", ",1336683830,31,"http://www.altmetric.com/details.php?citation_id=1046468",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","Multiscale Analysis of Spreading in a Large Communication Network","10.1088/1742-5468/2012/03/p03005","1112.4312","2012JSMTE..03..005K","4f6fa62a3cf058f610007e61",",","Journal of Statistical Mechanics: Theory and Experiment","4506762","5.1233691071599","799467","82","3703536","256","2.4044862745098","31","87","225","235169","4.1938220676285","38807","83","196161","62","1.1406229508197","3","95","59","article","500293",NA,NA,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,4.55,"0","37","0","http://dx.doi.org/10.1088/1742-5468/2012/03/p03005",1324350954,1293840000,",","Mathematics, Physics and Astronomy, Social Sciences, Decision Sciences, Physical Sciences, ",1324640703,37,"http://www.altmetric.com/details.php?citation_id=500293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","Evaluating Network Models: A Likelihood Analysis","10.1209/0295-5075/98/28004","1112.4597","2012EL.....9828004W","arxiv",",","arXiv","4506051","5.113311188876","2328424","34","1533988","282032","2.4040191113744","114864","46","130856","235228","4.1682859620709","101257","41","97496","9797","3.7821682319314","3674","53","5253","article","505436",NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,"0","18","0","http://dx.doi.org/10.1209/0295-5075/98/28004",1324640843,1293840000,",",", ",1325065470,15,"http://www.altmetric.com/details.php?citation_id=505436",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","Epidemic spreading in weighted networks: An edge-based mean-field solution","10.1103/physreve.85.056106","1112.5683","2012PhRvE..85e6106Y","arxiv",",","arXiv","4725912","5.6233745135616","991134","78","3726159","301174","2.2036048317744","26197","91","274704","82093","5.8593239048872","17524","78","64357","2","3.75","1","1","0","article","1053659",NA,NA,8,7,7,NA,NA,NA,NA,NA,NA,NA,NA,3.75,"0","26","0","http://dx.doi.org/10.1103/physreve.85.056106",1352297081,1325376000,",",", ",1351836180,0,"http://www.altmetric.com/details.php?citation_id=1053659",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","The entropy of stochastic blockmodel ensembles","10.1103/physreve.85.056122","1112.6028","2012PhRvE..85e6122P","arxiv",",","arXiv","4505915","5.1093654012801","3110205","22","1017349","282026","2.4074049747364","177416","19","54181","235584","4.1676636599417","148260","26","61259","9797","3.7790853409555","5233","32","3163","article","511389",NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.5,"0","35","0","http://dx.doi.org/10.1103/physreve.85.056122",1325218840,1293840000,",",", ",1384663875,19,"http://www.altmetric.com/details.php?citation_id=511389",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Comparing intermittency and network measurements of words and their
  dependency on authorship","10.1088/1367-2630/13/12/123024","1112.6045","2011NJPh...13l3024A","4f6fa50e3cf058f6100031c9",",","New Journal of Physics","4504869","5.0950195588533","2367558","31","1440597","2491","3.0978835341365","822","59","1480","235579","4.1235959724594","102554","39","93163","158","5.320101910828","77","46","74","article","511393",NA,NA,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,1,"0","14","0","http://dx.doi.org/10.1088/1367-2630/13/12/123024",1325218844,1293840000,",","Physics and Astronomy, Physical Sciences, ",1325573878,0,"http://www.altmetric.com/details.php?citation_id=511393",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","Diffusion Adaptation over Networks under Imperfect Information Exchange
  and Non-stationary Data","10.1109/tsp.2012.2192928","1112.6212","2012ITSP...60.3460Z","arxiv",",","arXiv","4509149","5.2377591184699","3053425","19","884417","282394","2.1750139203168","133626","25","71803","235595","4.2976189121967","144225","19","45967","9801","3.8615055102041","5185","29","2899","article","511601",NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.5,"0","16","0","http://dx.doi.org/10.1109/tsp.2012.2192928",1325243245,1293840000,",",", ",1325573896,14,"http://www.altmetric.com/details.php?citation_id=511601",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","Constrained randomization of weighted networks","10.1103/physreve.84.026103","1201.0638","2011PhRvE..84b6103A","4f6fa6343cf058f610008518","1539-3755,1550-2376,","Physical Review E: Statistical, Nonlinear, and Soft Matter Physics","4506407","5.1217268660368","2973702","31","1398220","5151","1.6749809708738","2081","52","2726","58472","4.9872437960698","36231","34","20355","148","1.4441768707483","35","70","104","article","206251",NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0.75,"0","15","0","http://dx.doi.org/10.1103/physreve.84.026103",1312730675,1312156800,"physiology,statisticsastopic,biophysics,","Physics and Astronomy, Mathematics, Physical Sciences, ",1312446956,15,"http://www.altmetric.com/details.php?citation_id=206251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","Communities and bottlenecks: Trees and treelike networks have high modularity","10.1103/physreve.85.066118","1201.0745","2012PhRvE..85f6118B","arxiv",",","arXiv","4725905","5.5963178572073","1110255","64","3032560","301174","2.2036048317744","30368","88","267915","82340","5.8511534995567","20044","72","59399","2","3.75","2","1","0","article","1046439",NA,NA,7,6,6,NA,NA,NA,NA,NA,NA,NA,NA,3,"0","36","0","http://dx.doi.org/10.1103/physreve.85.066118",1352209710,1325376000,",",", ",1339793331,36,"http://www.altmetric.com/details.php?citation_id=1046439",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","Triadic motifs and dyadic self-organization in the World Trade Network","10.1007/978-3-642-28583-7_3","1201.1215","2012arXiv1201.1215S","arxiv",",","arXiv","4506762","5.1233691071599","2325866","34","1543646","282343","2.3836561970944","111240","48","136070","234562","4.2270132716013","101602","41","97541","9798","3.8177470654282","3692","53","5270","article","549277",NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,1,"0","0","0","http://dx.doi.org/10.1007/978-3-642-28583-7_3",1325814908,NA,",",", ",1325843264,0,"http://www.altmetric.com/details.php?citation_id=549277",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","Sampling properties of directed networks","10.1103/physreve.86.046104","1201.1507","2012PhRvE..86d6104S","arxiv",",","arXiv","4725912","5.6233745135616","893825","80","3824484","301174","2.2036048317744","23809","92","277408","235584","4.5183900790805","40876","82","194085","11052","3.9178353090218","1890","82","9132","article","553491",NA,NA,11,9,9,NA,NA,NA,NA,NA,NA,NA,NA,4.5,"0","20","0","http://dx.doi.org/10.1103/physreve.86.046104",1326159578,1325376000,",",", ",1351834272,1,"http://www.altmetric.com/details.php?citation_id=553491",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","Hierarchical multiresolution method to overcome the resolution limit in
  complex networks","10.1142/s0218127412501714","1201.2036","2012arXiv1201.2036G","arxiv",",","arXiv","4505030","5.0987896285659","1685507","62","2796920","281982","2.5573788801374","49165","82","231323","234556","4.1722749120677","60607","73","172529","9783","3.7070404825189","2141","77","7592","article","555072",NA,NA,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,2.35,"0","19","0","http://dx.doi.org/10.1142/s0218127412501714",1326251901,1325376000,",",", ",1347723068,19,"http://www.altmetric.com/details.php?citation_id=555072",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Optimal Allocation of Interconnecting Links in Cyber-Physical Systems:
  Interdependence, Cascading Failures and Robustness","10.1109/tpds.2012.62","1201.2698","2012arXiv1201.2698Y","4f6fa5163cf058f61000379d",",","IEEE Transactions on Parallel & Distributed Systems","4506051","5.113311188876","2980436","30","1394440","73","1.4341666666667","49","30","22","235758","4.2450029479509","140007","36","87084","6","1.02","6","1","0","article","560926",NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,0.75,"0","51","0","http://dx.doi.org/10.1109/tpds.2012.62",1326679378,1325376000,",","Computer Science, Physical Sciences, ",1326692255,0,"http://www.altmetric.com/details.php?citation_id=560926",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","Ecological analysis of world trade","10.1016/j.physleta.2012.10.056","1201.3584","2012arXiv1201.3584E","4f6fa5123cf058f610003310",",","Physics Letters A","3636226","4.921076943263","1370075","62","2255337","727","1.7640936639118","209","71","517","232517","3.9509785563147","52955","76","178572","55","1.0438148148148","6","89","49","article","563897",1,NA,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,2.75,"0","11","0","http://dx.doi.org/10.1016/j.physleta.2012.10.056",1326859612,1356998400,",","Physics and Astronomy, Physical Sciences, ",1327505683,11,"http://www.altmetric.com/details.php?citation_id=563897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","Characterizing Interdisciplinarity of Researchers and Research Topics Using Web Search Engines","10.1371/journal.pone.0038747",NA,NA,"4f6fa5373cf058f610004637",",","Systems Science","4507509","5.1386389830674","274024","93","4232634","3","2.8","1","66","2","76541","4.9511169845832","5026","93","71491","1","0","1","1","0","article",NA,1,1,21,18,20,NA,NA,NA,NA,NA,NA,NA,NA,13.35,"0","28","0","http://dx.doi.org/10.1371/journal.pone.0038747",1339623063,1325376000,",","Mathematics, Computer Science, Engineering, Physical Sciences, ",1400342111,28,"http://www.altmetric.com/details.php?citation_id=790887","22719935","Researchers' networks have been subject to active modeling and analysis. Earlier literature mostly focused on citation or co-authorship networks reconstructed from annotated scientific publication databases, which have several limitations. Recently, general-purpose web search engines have also been utilized to collect information about social networks. Here we reconstructed, using web search engines, a network representing the relatedness of researchers to their peers as well as to various research topics. Relatedness between researchers and research topics was characterized by visibility boost-increase of a researcher's visibility by focusing on a particular topic. It was observed that researchers who had high visibility boosts by the same research topic tended to be close to each other in their network. We calculated correlations between visibility boosts by research topics and researchers' interdisciplinarity at the individual level (diversity of topics related to the researcher) and at the social level (his/her centrality in the researchers' network). We found that visibility boosts by certain research topics were positively correlated with researchers' individual-level interdisciplinarity despite their negative correlations with the general popularity of researchers. It was also found that visibility boosts by network-related topics had positive correlations with researchers' social-level interdisciplinarity. Research topics' correlations with researchers' individual- and social-level interdisciplinarities were found to be nearly independent from each other. These findings suggest that the notion of ""interdisciplinarity"" of a researcher should be understood as a multi-dimensional concept that should be evaluated using multiple assessment means.","pubmed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","PageRank and rank-reversal dependence on the damping factor","10.1103/physreve.86.066104","1201.4787","2012arXiv1201.4787S","arxiv",",","arXiv","4698265","5.4343644551998","1751395","61","2912469","298256","2.1722615547099","36021","87","259915","236086","4.4124351144716","61327","73","172583","10467","3.8473319319702","2333","76","8047","article","571766",NA,NA,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,2.5,"0","9","0","http://dx.doi.org/10.1103/physreve.86.066104",1327379212,1325376000,",",", ",1354899000,9,"http://www.altmetric.com/details.php?citation_id=571766",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","Spatiotemporal features of human mobility","10.1371/journal.pone.0037676","1202.0224","2012PLoSO...7E7676B","4f6fa5313cf058f6100043e3",",","PLoS ONE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,8,9,1,NA,NA,NA,NA,NA,NA,NA,12.722,"1","57","0","http://dx.doi.org/10.1371/journal.pone.0037676",1352202845,1325376000,",","Medicine, Agricultural and Biological Sciences, Life Sciences, Health Sciences, Biochemistry, Genetics and Molecular Biology, ",1338851530,58,"http://www.altmetric.com/details.php?citation_id=1044845","22701529","The individual movements of large numbers of people are important in many contexts, from urban planning to disease spreading. Datasets that capture human mobility are now available and many interesting features have been discovered, including the ultra-slow spatial growth of individual mobility. However, the detailed substructures and spatiotemporal flows of mobility--the sets and sequences of visited locations--have not been well studied. We show that individual mobility is dominated by small groups of frequently visited, dynamically close locations, forming primary ""habitats"" capturing typical daily activity, along with subsidiary habitats representing additional travel. These habitats do not correspond to typical contexts such as home or work. The temporal evolution of mobility within habitats, which constitutes most motion, is universal across habitats and exhibits scaling patterns both distinct from all previous observations and unpredicted by current models. The delay to enter subsidiary habitats is a primary factor in the spatiotemporal growth of human travel. Interestingly, habitats correlate with non-mobility dynamics such as communication activity, implying that habitats may influence processes such as information spreading and revealing new connections between human mobility and social networks.","pubmed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","FastSIR Algorithm: A Fast Algorithm for simulation of epidemic spread in
  large networks by using SIR compartment model","10.1016/j.ins.2013.03.036","1202.1639","2012arXiv1202.1639A","4f6fa4ed3cf058f610002ad4",",","Information Sciences","4506762","5.1233691071599","893290","80","3606201","225","1.5524910714286","13","94","212","233591","4.2652919217435","43951","80","189078","14","2.7884615384615","2","85","12","article","595888",1,NA,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,3.75,"0","16","0","http://dx.doi.org/10.1016/j.ins.2013.03.036",1328753193,1356998400,",","Mathematics, Computer Science, Social Sciences, Engineering, Decision Sciences, Physical Sciences, ",1328820568,16,"http://www.altmetric.com/details.php?citation_id=595888",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","Dynamics of Conflicts in Wikipedia","10.1371/journal.pone.0038869","1202.3643","2012arXiv1202.3643Y","4f6fa5313cf058f6100043e3","1932-6203,","PLoS ONE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,177,125,142,4,1,2,NA,NA,NA,NA,2,153.71,"8","126","0","http://dx.doi.org/10.1371/journal.pone.0038869",1329451153,1325376000,"medicine,science,","Medicine, Agricultural and Biological Sciences, Life Sciences, Health Sciences, Biochemistry, Genetics and Molecular Biology, ",1452740494,134,"http://www.altmetric.com/details.php?citation_id=608948","22745683","In this work we study the dynamical features of editorial wars in Wikipedia (WP). Based on our previously established algorithm, we build up samples of controversial and peaceful articles and analyze the temporal characteristics of the activity in these samples. On short time scales, we show that there is a clear correspondence between conflict and burstiness of activity patterns, and that memory effects play an important role in controversies. On long time scales, we identify three distinct developmental patterns for the overall behavior of the articles. We are able to distinguish cases eventually leading to consensus from those cases where a compromise is far from achievable. Finally, we analyze discussion networks and conclude that edit wars are mainly fought by few editors only.","pubmed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","Localization and Spreading of Diseases in Complex Networks","10.1103/physrevlett.109.128702","1202.4411","2012PhRvL.109l8702G","4f6fa6343cf058f610008519",",","Physical Review Letters","4504824","5.0923717479595","840411","80","3636852","13125","7.2350783297775","4096","68","8972","79349","4.323181227","13025","83","65946","177","8.9407045454545","53","70","124","article","613656",NA,NA,12,8,8,NA,NA,NA,NA,NA,NA,NA,NA,4,"0","53","0","http://dx.doi.org/10.1103/physrevlett.109.128702",1329796317,1325376000,",","Physics and Astronomy, Physical Sciences, ",1363361401,42,"http://www.altmetric.com/details.php?citation_id=613656",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","Culturomics meets random fractal theory: insights into long-range correlations of social and natural phenomena over the past two centuries","10.1098/rsif.2011.0846","1202.5299","2012arXiv1202.5299G","4f6fa62a3cf058f610007ee4","1742-5662,","Journal of The Royal Society Interface",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,19,15,18,1,NA,1,NA,NA,NA,NA,NA,30.022,"0","41","0","http://dx.doi.org/10.1098/rsif.2011.0846",1330342137,1325376000,"biophysics,biomedicalengineering,biology,","Materials Science, Chemical Engineering, Life Sciences, Engineering, Biochemistry, Genetics and Molecular Biology, Physical Sciences, ",1416624585,41,"http://www.altmetric.com/details.php?citation_id=622926","22337632","Culturomics was recently introduced as the application of high-throughput data collection and analysis to the study of human culture. Here, we make use of these data by investigating fluctuations in yearly usage frequencies of specific words that describe social and natural phenomena, as derived from books that were published over the course of the past two centuries. We show that the determination of the Hurst parameter by means of fractal analysis provides fundamental insights into the nature of long-range correlations contained in the culturomic trajectories, and by doing so offers new interpretations as to what might be the main driving forces behind the examined phenomena. Quite remarkably, we find that social and natural phenomena are governed by fundamentally different processes. While natural phenomena have properties that are typical for processes with persistent long-range correlations, social phenomena are better described as non-stationary, on-off intermittent or Lévy walk processes.","pubmed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","Assortativity decreases the robustness of interdependent networks","10.1103/physreve.86.066103","1203.0029","2012arXiv1203.0029Z","4f6fa6343cf058f610008518","1539-3755,1550-2376,","Physical Review E: Statistical, Nonlinear, and Soft Matter Physics","4697391","5.4352828810428","715982","84","3978941","5101","1.8701662745098","279","94","4806","78169","4.5252725411933","10696","86","67399","109","4.8464814814815","4","96","105","article","629853",NA,NA,7,6,7,NA,NA,NA,NA,NA,NA,NA,1,5.75,"0","55","0","http://dx.doi.org/10.1103/physreve.86.066103",1330659980,1325376000,"physiology,statisticsastopic,biophysics,","Physics and Astronomy, Mathematics, Physical Sciences, ",1417036604,0,"http://www.altmetric.com/details.php?citation_id=629853",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
